YEARS,CO2EQ
2725,542.4471
2726,542.4471
2727,542.4471
2728,542.4471
2729,542.4471
2730,542.4471
2731,542.4471
2732,542.4471
2733,542.4471
2734,542.4471
2735,542.4471
2736,542.4471
2737,542.4471
2738,542.4471
2739,542.4471
2740,542.4471
2741,542.4471
2742,542.4471
2743,542.4471
2744,542.4471
2745,542.4471
2746,542.4471
2747,542.4471
2748,542.4471
2749,542.4471
2750,542.4471
2751,542.4471
2752,542.4471
2753,542.4471
2754,542.4471
2755,542.4471
2756,542.4471
2757,542.4471
2758,542.4471
2759,542.4471
2760,542.4471
2761,542.4471
2762,542.4471
2763,542.4471
2764,542.4471
2765,542.4471
2766,542.4471
2767,542.4471
2768,542.4471
2769,542.4471
2770,542.4471
2771,542.4471
2772,542.4471
2773,542.4471
2774,542.4471
2775,542.4471
2776,542.4471
2777,542.4471
2778,542.4471
2779,542.4471
2780,542.4471
2781,542.4471
2782,542.4471
2783,542.4471
2784,542.4471
2785,542.4471
2786,542.4471
2787,542.4471
2788,542.4471
2789,542.4471
2790,542.4471
2791,542.4471
2792,542.4471
2793,542.4471
2794,542.4471
2795,542.4471
2796,542.4471
2797,542.4471
2798,542.4471
2799,542.4471
2800,542.4471
